province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Libertad,PH-AGN-1-45,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Limaha Pob. (Bgy. 14),PH-AGN-1-46,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Los Angeles,PH-AGN-1-47,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Lumbocan,PH-AGN-1-48,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Maguinda,PH-AGN-1-49,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Mahay,PH-AGN-1-50,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Mahogany Pob. (Bgy. 21),PH-AGN-1-51,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Maibu,PH-AGN-1-52,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Mandamo,PH-AGN-1-53,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Manila de Bugabus,PH-AGN-1-54,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Maon Pob. (Bgy. 1),PH-AGN-1-55,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Masao,PH-AGN-1-56,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Maug,PH-AGN-1-57,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,New Society village Pob. (Bgy. 26),PH-AGN-1-58,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Nong-nong,PH-AGN-1-59,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Obrero Pob. (Bgy. 18),PH-AGN-1-60,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Ong Yiu Pob. (Bgy. 16),PH-AGN-1-61,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Pagatpatan,PH-AGN-1-62,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Pangabugan,PH-AGN-1-63,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Pianing,PH-AGN-1-64,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Pigdaulan,PH-AGN-1-65,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Pinamanculan,PH-AGN-1-66,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Port Poyohon Pob. (Bgy. 17 - New Asia),PH-AGN-1-67,8600
