state,country,city,zip
AL,Greene County,BOLIGEE,35443
AL,Jefferson County,BROOKWOOD,35444
AL,Tuscaloosa County,BUHL,35446
AL,Pickens County,CARROLLTON,35447
AL,Greene County,CLINTON,35448
AL,Tuscaloosa County,COALING,35449
AL,Tuscaloosa County,COKER,35452
AL,Tuscaloosa County,COALING,35453
AL,Bibb County,DUNCANVILLE,35456
AL,Tuscaloosa County,ECHOLA,35457
AL,Tuscaloosa County,ELROD,35458
AL,Sumter County,EMELLE,35459
AL,Sumter County,EPES,35460
AL,Pickens County,ETHELSVILLE,35461
AL,Greene County,EUTAW,35462
AL,Greene County,FOSTERS,35463
AL,Greene County,GAINESVILLE,35464
AL,Pickens County,GORDO,35466
AL,Tuscaloosa County,KELLERMAN,35468
AL,Greene County,KNOXVILLE,35469
AL,Sumter County,LIVINGSTON,35470
AL,Pickens County,MC SHAN,35471
AL,Tuscaloosa County,NORTHPORT,35473
AL,Hale County,MOUNDVILLE,35474
AL,Tuscaloosa County,NORTHPORT,35475
AL,Tuscaloosa County,NORTHPORT,35476
AL,Sumter County,PANOLA,35477
AL,Tuscaloosa County,PETERSON,35478
AL,Greene County,RALPH,35480
AL,Lamar County,REFORM,35481
AL,Tuscaloosa County,SAMANTHA,35482
AL,Tuscaloosa County,TUSCALOOSA,35485
AL,Tuscaloosa County,TUSCALOOSA,35486
AL,Tuscaloosa County,TUSCALOOSA,35487
AL,Tuscaloosa County,VANCE,35490
AL,Greene County,WEST GREENE,35491
AL,Walker County,JASPER,35501
AL,Walker County,JASPER,35502
AL,Walker County,JASPER,35503
AL,Cullman County,JASPER,35504
AL,Cullman County,ADDISON,35540
AL,Cullman County,ARLEY,35541
AL,Fayette County,BANKSTON,35542
AL,Marion County,BEAR CREEK,35543
AL,Lamar County,BEAVERTON,35544
AL,Fayette County,BELK,35545
AL,Fayette County,BERRY,35546
AL,Marion County,BRILLIANT,35548
AL,Fayette County,CARBON HILL,35549
AL,Walker County,CORDOVA,35550
AL,Winston County,DELMAR,35551
AL,Lamar County,DETROIT,35552
AL,Winston County,DOUBLE SPRINGS,35553
AL,Fayette County,ELDRIDGE,35554
AL,Fayette County,FAYETTE,35555
AL,Fayette County,GLEN ALLEN,35559
AL,Walker County,GOODSPRINGS,35560
AL,Fayette County,GUIN,35563
AL,Marion County,HACKLEBURG,35564
AL,Franklin County,HALEYVILLE,35565
AL,Lamar County,HAMILTON,35570
AL,Franklin County,HODGES,35571
AL,Winston County,HOUSTON,35572
AL,Walker County,KANSAS,35573
AL,Fayette County,KENNEDY,35574
AL,Winston County,LYNN,35575
AL,Lamar County,MILLPORT,35576
AL,Winston County,NATURAL BRIDGE,35577
AL,Walker County,NAUVOO,35578
AL,Fayette County,OAKMAN,35579
AL,Walker County,PARRISH,35580
AL,Franklin County,PHIL CAMPBELL,35581
AL,Colbert County,RED BAY,35582
AL,Walker County,SIPSEY,35584
AL,Franklin County,SPRUCE PINE,35585
AL,Lamar County,SULLIGENT,35586
AL,Walker County,TOWNLEY,35587
AL,Lamar County,VERNON,35592
AL,Franklin County,VINA,35593
AL,Fayette County,WINFIELD,35594
AL,Morgan County,DECATUR,35601
AL,Morgan County,DECATUR,35602
AL,Lawrence County,DECATUR,35603
AL,Morgan County,DECATUR,35609
AL,Lauderdale County,ANDERSON,35610
AL,Limestone County,ATHENS,35611
AL,Limestone County,ATHENS,35612
AL,Limestone County,ATHENS,35613
AL,Limestone County,ATHENS,35614
AL,Limestone County,BELLE MINA,35615
AL,Colbert County,CHEROKEE,35616
AL,Lauderdale County,CLOVERDALE,35617
AL,Lawrence County,COURTLAND,35618
AL,Cullman County,DANVILLE,35619
AL,Limestone County,ELKMONT,35620
AL,Cullman County,EVA,35621
AL,Cullman County,FALKVILLE,35622
AL,Lauderdale County,FLORENCE,35630
AL,Lauderdale County,FLORENCE,35631
AL,Lauderdale County,FLORENCE,35632
AL,Lauderdale County,FLORENCE,35633
AL,Lauderdale County,FLORENCE,35634
AL,Morgan County,HARTSELLE,35640
AL,Lawrence County,HILLSBORO,35643
AL,Lauderdale County,KILLEN,35645
AL,Colbert County,LEIGHTON,35646
AL,Limestone County,LESTER,35647
AL,Lauderdale County,LEXINGTON,35648
AL,Limestone County,MOORESVILLE,35649
AL,Lawrence County,MOULTON,35650
AL,Franklin County,MOUNT HOPE,35651
AL,Lauderdale County,ROGERSVILLE,35652
AL,Colbert County,RUSSELLVILLE,35653
AL,Colbert County,RUSSELLVILLE,35654
AL,Colbert County,SHEFFIELD,35660
AL,Colbert County,MUSCLE SHOALS,35661
AL,Colbert County,MUSCLE SHOALS,35662
AL,Morgan County,SOMERVILLE,35670
AL,Limestone County,TANNER,35671
AL,Colbert County,TOWN CREEK,35672
AL,Lawrence County,TRINITY,35673
AL,Colbert County,TUSCUMBIA,35674
AL,Lauderdale County,WATERLOO,35677
AL,Morgan County,DECATUR,35699
AL,Limestone County,ARDMORE,35739
AL,Jackson County,BRIDGEPORT,35740
AL,Madison County,BROWNSBORO,35741
AL,Limestone County,CAPSHAW,35742
AL,Jackson County,DUTTON,35744
AL,Jackson County,ESTILLFORK,35745
AL,Jackson County,FACKLER,35746
AL,Marshall County,GRANT,35747
AL,Jackson County,GURLEY,35748
AL,Limestone County,HARVEST,35749
AL,Madison County,HAZEL GREEN,35750
AL,Jackson County,HOLLYTREE,35751
AL,Jackson County,HOLLYWOOD,35752
AL,Marshall County,LACEYS SPRING,35754
AL,Jackson County,LANGSTON,35755
AL,Limestone County,MADISON,35756
AL,Limestone County,MADISON,35757
AL,Limestone County,MADISON,35758
AL,Madison County,MERIDIANVILLE,35759
AL,Madison County,NEW HOPE,35760
AL,Madison County,NEW MARKET,35761
AL,Madison County,NORMAL,35762
AL,Madison County,OWENS CROSS ROADS,35763
