countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Al Harth,الحرث,SA-GZ-17
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Fayfa,فيفاء,SA-GZ-18
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Al Tuwal,الطوال,SA-GZ-19
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Simira,سميرا,SA-HL-0
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Shinanh,الشنانة,SA-HL-1
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Sadyan,صدين,SA-HL-2
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Qufar,قفار,SA-HL-3
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Munifat Al Qaid,منيفت القيد,SA-HL-4
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Moqaq,موقق,SA-HL-5
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Ghazalah,الغزالة,SA-HL-6
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Baqaa,بقعاء,SA-HL-7
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Baqa Ash Sharqiyah,بقعاء الشرقية,SA-HL-8
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Ash Shananah,الشنانه,SA-HL-9
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Al Wasayta,الوسيطاء,SA-HL-10
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Al Ajfar,الأجفر,SA-HL-11
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Hail,حائل,SA-HL-12
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,As Sulaymi,السليمي,#N/A
